"name","prompt","negative_prompt","description","category"
"ACCESSORY_Fantasy_Weapon","(fantasy weapon:1.3), sword, magic staff, bow and arrow, enchanted blade, battle axe, glowing weapon","no weapons, pacifist, cooking, reading","Fantasy weapon prop. Combos: ARCHETYPE_Warrior; ACTIVITY_Fighting_Pose; MOOD_Fierce. Conflicts: ACTIVITY_Cooking.","ACCESSORY"
"ACCESSORY_Glasses","(glasses:1.2), eyeglasses, spectacles, thin frame glasses, round glasses, semi-rimless","no glasses, contacts","Glasses accessory. Combos: ARCHETYPE_Office_Lady; ACTIVITY_Reading; MOOD_Mysterious. Universal BODY.","ACCESSORY"
"ACCESSORY_Hat","(hat:1.2), stylish hat, baseball cap, beret, wide-brim hat, sun hat, fashionable headwear","no hat, bare head","Hat accessory. Combos: OUTFIT_Casual; OUTFIT_Streetwear; SCENE_Beach. Conflicts: ARCHETYPE_Witch (use their specific hat).","ACCESSORY"
"ACCESSORY_Headphones","(headphones:1.2), over-ear headphones, wireless headphones, music listener, around neck or on ears, (phone screen facing away from viewer:1.3), (screen visible to holder:1.2), phone held toward partner, (back of phone toward camera:1.2)","no headphones, phone screen facing camera, screen toward viewer, selfie angle, phone camera toward viewer","Headphones. Combos: OUTFIT_Streetwear; ACTIVITY_Gaming; MOOD_Playful. Modern aesthetic.","ACCESSORY"
"ACCESSORY_Jewelry_Elegant","(elegant jewelry:1.2), necklace, pearl earrings, bracelet, ring, fine jewelry, crystal accessories","no accessories, rough gear","Fine jewelry. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; BODY_Hourglass_Perfect. Conflicts: ARCHETYPE_Warrior.","ACCESSORY"
"ACCESSORY_Katana","(katana:1.3), japanese sword, sheathed katana, drawn katana, blade, samurai sword, sword at waist","no weapon, magic staff","Katana sword. More specific than Fantasy_Weapon. Combos: ARCHETYPE_Kunoichi; SCENE_Japanese_Night; ERA_Feudal_Japan. Conflicts: ACCESSORY_Fantasy_Weapon (choose one).","ACCESSORY"
"ACCESSORY_Makeup_Eyeliner_Cat","(cat eye liner:1.3), winged eyeliner, cat eyeliner, sharp liner wing, dramatic liner, kohl eyeliner, eyeliner flick","no makeup, natural, plain","Cat eye makeup. Combos: ARCHETYPE_Office_Lady; MOOD_Confident; EXPRESSION_Smug. Sharp and iconic.","ACCESSORY"
"ACCESSORY_Makeup_Glossy_Lips","(glossy lips:1.2), lip gloss, shiny lips, plump glossy lips, wet-look lips, high shine lip color, lip gloss shine","matte lips, no makeup","Glossy lip makeup. Combos: ARCHETYPE_Idol; OUTFIT_Evening_Dress; MOOD_Playful.","ACCESSORY"
"ACCESSORY_Makeup_Natural","(natural makeup:1.2), light makeup, minimal makeup, natural look, soft foundation, nude lip, barely-there makeup, fresh face makeup","heavy makeup, gothic, dramatic","Natural minimal makeup. Combos: any ARCHETYPE for everyday look. Universal — enhances realism without drama.","ACCESSORY"
"ACCESSORY_Makeup_Soft_Blush","(soft blush:1.2), rosy cheeks, pink cheek blush, gentle blush makeup, peachy blush, blusher on cheeks","no makeup, dramatic eyeshadow","Soft blush. Combos: MOOD_Shy; ARCHETYPE_Idol; EXPRESSION_Shy_Blush. Amplifies cute mood.","ACCESSORY"
"ACCESSORY_Mask","(mask:1.2), face mask, kitsune mask, half mask, decorative mask, masquerade mask","bare face, no mask","Mask accessory. Combos: ARCHETYPE_Kunoichi; ERA_Victorian; SCENE_Ballroom.","ACCESSORY"
"ACCESSORY_Respirator","(respirator mask:1.2), gas mask worn low, cyberpunk respirator, face respirator, techwear mask","bare face, no mask","Cyberpunk/techwear mask. Combos: OUTFIT_Cyberpunk; SCENE_Cyberpunk_City; ERA_Post_Apocalyptic.","ACCESSORY"
"ACCESSORY_Scarf","(scarf:1.2), cozy scarf, winter scarf, flowing scarf, neck scarf, warm wool scarf","summer, bare neck","Scarf accessory. Combos: SEASON_Winter_Snow; OUTFIT_Winter_Coat; MOOD_Serene. Conflicts: ARCHETYPE_Kunoichi.","ACCESSORY"
"ACCESSORY_Tattoos","(tattoos:1.2), visible tattoos, arm tattoos, decorated skin, inked, tattoo art on skin","plain skin, no tattoos","Tattoo aesthetic. Combos: OUTFIT_Streetwear; MOOD_Confident; BODY_Muscular_Fit.","ACCESSORY"
"ACCESSORY_Tiara","(tiara:1.3), (princess tiara:1.2), delicate tiara, jeweled tiara, hair tiara, elegant crown tiara","no headwear, plain, hat","Tiara — lighter than crown. Combos: ARCHETYPE_Idol; CLOTHES_Wedding_Dress; STYLE_Soft_Pastel; SCENE_Ballroom.","ACCESSORY"
"ACCESSORY_Wings","(large wings:1.3), feathered wings, angel wings, demon wings, dragon wings, spread wings, wings framing figure","no wings, plain back","Wings accessory. Combos: RACE_Angel; RACE_Demon_Girl; ACTIVITY_Gazing_Horizon. Adds strong visual silhouette.","ACCESSORY"
"ACTION_Beckoning","(beckoning gesture:1.2), come here gesture, finger curl beckon, inviting gesture, calling closer","pushing away, fighting, ignoring","Beckoning/come here gesture. Combos: EXPRESSION_Villainous_Smile; EXPRESSION_Smug; MOOD_Cunning; CAMERA_POV.","ACTION"
"ACTION_Bow_Greeting","(bowing:1.2), formal bow, japanese bow, respectful bow, greeting bow, deep respectful bow","fighting, ignoring, casual","Formal bowing gesture. Combos: ARCHETYPE_Maid; ARCHETYPE_Geisha; ARCHETYPE_Samurai; MOOD_Reverent.","ACTION"
"ACTION_Catch_Object","(catching object:1.2), reaching to catch, mid-catch, object in motion caught, athletic catch","throwing, sitting, sleeping","Catching an object in motion. Combos: PROPS_Sword; POSE_Reaching_Out; MOOD_Focused.","ACTION"
"ACTION_Crossing_Arms","(arms crossed:1.2), crossed arms pose, defensive cross, judging arms crossed, authoritative stance","open, arms out, reaching","Arms crossed body language. Combos: EXPRESSION_Smug; MOOD_Confident; ARCHETYPE_Teacher.","ACTION"
"ACTION_Finger_Point","(pointing finger:1.2), index finger pointing, accusatory point, directional point, finger aimed at viewer, dramatic point","passive, relaxed, hands down","Pointing finger gesture. Combos: EXPRESSION_Determined; ARCHETYPE_Teacher; CAMERA_POV; MOOD_Confident.","ACTION"
"ACTION_Fist_Raise","(raised fist:1.2), fist in air, victory fist, defiant raised fist, power fist, punching air","surrendering, defeated, sitting","Raised fist gesture. Combos: POSE_Victory_Arms_Up; EXPRESSION_Determined; MOOD_Euphoric; MOOD_Righteous_Fury.","ACTION"
"ACTION_Gesture_Peace_Sign","(peace sign:1.3), (v-sign:1.3), (two fingers up:1.2), hand gesture, fingers forming V shape, (winking optional:1.1)","wrong finger count, deformed hand, extra fingers","Classic V/peace sign gesture. Universal. Combo: any POSE + this gesture.","ACTION"
"ACTION_Hair_Tuck","(tucking hair behind ear:1.2), brushing hair aside, hair push back, nervous hair touch, shy hair tuck","battle, fighting, formal","Hair tuck/adjust gesture. Combos: EXPRESSION_Shy_Blush; EXPRESSION_Gentle_Nervous; MOOD_Shy; HAIR_Long_Flowing.","ACTION"
"ACTION_Hand_On_Heart","(hand on heart:1.2), hand pressed to chest, sincere gesture, pledge gesture, emotional hand on heart","aggressive, fighting, crossed arms","Hand on heart sincere gesture. Combos: ARCHETYPE_Knight; MOOD_Reverent; EXPRESSION_Determined; EXPRESSION_Proud.","ACTION"
"ACTION_Lean_Forward","(leaning forward:1.2), body leaning toward viewer, forward lean engagement, curious forward lean, intense forward tilt","leaning back, upright, formal","Forward lean body language. Combos: CAMERA_POV; EXPRESSION_Focused_Intense; EXPRESSION_Villainous_Smile; MOOD_Cunning.","ACTION"
"ACTION_Snap_Finger","(finger snap:1.2), snapping fingers, click of fingers, casual snap, magic snap, summoning snap gesture","no hands, fighting, formal bow","Finger snap gesture. Combos: ARCHETYPE_Idol; ACTIVITY_Magic_Casting; MOOD_Confident; EXPRESSION_Smug.","ACTION"
"ACTION_Stretch_Yawn","(stretching and yawning:1.2), morning stretch, arms up stretch, wide yawn, sleepy stretch, after sleep stretch","fighting, formal, battle","Stretch + yawn combo. Combos: MOOD_Sleepy; SCENE_Bedroom; CLOTHES_Hoodie_Oversized; ACTIVITY_Sleeping.","ACTION"
"ACTION_Wave_Goodbye","(waving goodbye:1.2), farewell wave, hand raised waving, goodbye gesture, waving from distance, sendoff wave","arriving, fighting, ignoring","Goodbye wave gesture. Combos: MOOD_Bittersweet; SCENE_Train_Station_Platform; SCENE_Airport_Terminal; VEHICLE_Train_Window.","ACTION"
"ACTIVITY_Archery","(archery:1.2), drawing bow, arrow nocked, archer stance, longbow or compound, aiming, forest target, hunter skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Archery activity. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Male_Bounty_Hunter.","ACTIVITY"
"ACTIVITY_Arguing","(heated argument:1.2), pointing finger, confrontation, verbal conflict, debate, two people disagreeing, tense conversation","peaceful, calm, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Argument/confrontation activity. Combos: CHARACTER_Group_Shot; THEME_Romance_Drama.","ACTIVITY"
"ACTIVITY_Bathing","(bathing:1.2), in bathtub, soaking in bath, bath scene, relaxing bath, bubble bath, bath time","dressed, outdoor, action","Bathing scene (tasteful framing). Combos: MOOD_Serene; LIGHTING_Candlelight. Ensure tasteful non-explicit framing.","ACTIVITY"
"ACTIVITY_Celebrating","(celebrating:1.2), party moment, raising glass, confetti, jubilation, group celebration, festival joy, cheering crowd","sad, solemn, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Celebration activity. Combos: ATMOSPHERE_Confetti; MOOD_Excited; SCENE_Ballroom.","ACTIVITY"
"ACTIVITY_Climbing","(climbing:1.2), scaling wall, rock climbing, wall scaling, parkour climb, athletic climbing, grip on surface","standing still, sitting, relaxing","Climbing pose/action. Combos: SCENE_Fantasy_Ruins; ARCHETYPE_Assassin; ACTIVITY_Fighting_Pose; MOOD_Determined.","ACTIVITY"
"ACTIVITY_Cooking","(cooking:1.2), kitchen activity, holding ladle or spatula, apron, mixing bowl, culinary, food preparation","outdoor battle, fantasy","Cooking activity. Combos: ARCHETYPE_Maid; OUTFIT_Casual; SCENE_Kitchen. Conflicts: ACTIVITY_Fighting_Pose.","ACTIVITY"
"ACTIVITY_Crafting","(crafting or building:1.2), hands working, making something, artisan at work, creating with hands, workshop activity, building skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Crafting/building activity. Combos: ARCHETYPE_Male_Blacksmith; SCENE_Renaissance_Workshop.","ACTIVITY"
"ACTIVITY_Dancing","(dancing:1.3), dynamic dance pose, flowing movement, arms raised, hair flowing, mid-dance, graceful motion","static, sitting, sleeping, stiff pose","Dance pose. Combos: ARCHETYPE_Idol; OUTFIT_Evening_Dress; LIGHTING_Neon_Colorful. Conflicts: ACTIVITY_Sitting_Relaxed.","ACTIVITY"
"ACTIVITY_Drinking_Coffee","(drinking coffee:1.3), (holding coffee cup:1.2), sipping from mug, morning coffee ritual, coffee in hand, espresso shot, cafe moment","no drink, no cup, sleeping","Drinking coffee. Combos: FOOD_Coffee_Cup; SCENE_Cafe; MOOD_Focused; LIGHTING_Soft_Warm; STATE_Exhausted_Sleeping (pre-coffee).","ACTIVITY"
"ACTIVITY_Eating","(eating:1.3), (taking a bite:1.2), food in hand, mid-bite, chopsticks eating, fork to mouth, enjoying food, meal time","no food, no eating action, standing idle","Eating action. Combos: FOOD_* category; SCENE_Cafe; SCENE_Izakaya_Bar; EXPRESSION_Gentle_Smile.","ACTIVITY"
"ACTIVITY_Fighting_Pose","(battle pose:1.3), combat stance, sword raised, dynamic action, mid-battle, weapon in hand, heroic action pose","sitting, relaxed, cooking, reading","Combat action pose. Combos: ARCHETYPE_Warrior; ARCHETYPE_Kunoichi; MOOD_Fierce. Conflicts: ACTIVITY_Sitting_Relaxed.","ACTIVITY"
"ACTIVITY_Flying_Magic","(magical flight:1.2), levitating, flying through air, soaring, wind around body, floating upward, aerial magic","grounded, sitting, still","Magical levitation/flight. Combos: ARCHETYPE_Witch; ARCHETYPE_Magical_Girl; ACTIVITY_Magic_Casting; RACE_Angel.","ACTIVITY"
"ACTIVITY_Gaming","playing video games, (controller in hands:1.2), gamer, focused on screen, headset optional, sitting cross-legged","outdoor, nature, dancing","Gaming activity. Combos: OUTFIT_Casual; MOOD_Playful; SCENE_Bedroom. Conflicts: ACTIVITY_Fighting_Pose.","ACTIVITY"
"ACTIVITY_Gazing_Horizon","looking into the distance, (contemplative pose:1.2), hand shielding eyes, wind in hair, standing at edge, vista view","indoor, sitting still, reading","Cinematic vista gaze. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset; MOOD_Melancholic. Universal BODY.","ACTIVITY"
"ACTIVITY_Horseback_Riding","(riding a horse:1.2), on horseback, galloping, cavalry charge, horse and rider, equestrian, riding through landscape","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Horseback riding activity. Combos: ANIMAL_Horse; SCENE_Battlefield_Ancient; SCENE_Wild_West_Town.","ACTIVITY"
"ACTIVITY_Hugging","(hugging:1.2), embrace, arms around, warm hug, tight hug, holding close","solo, fighting, alone","Hugging/embrace. Combos: THEME_Romance_Drama; MOOD_Serene. Requires multi-character setup.","ACTIVITY"
"ACTIVITY_Instrument_Piano","(playing piano:1.3), seated at piano, fingers on keys, piano performance, grand piano, concert piano","no piano, standing, outdoor fight","Piano playing. Combos: SCENE_Ballroom; LIGHTING_Spotlight_Single; MOOD_Melancholic; MOOD_Elegant. Conflicts: ACTIVITY_Dancing.","ACTIVITY"
"ACTIVITY_Instrument_Violin","(playing violin:1.2), bow on strings, violin performance, concert violin, classical violin, violin pose","no violin, fighting, gaming","Violin playing. Combos: SCENE_Ballroom; LIGHTING_Soft_Warm; MOOD_Melancholic; ARCHETYPE_Aristocrat_Noble.","ACTIVITY"
"ACTIVITY_Investigating","(investigation:1.2), examining clues, looking closely, detective work, searching scene, magnifying glass, piecing together mystery","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Investigating/detective activity. Combos: ARCHETYPE_Male_Detective; THEME_Mystery_Noir.","ACTIVITY"
"ACTIVITY_Magic_Casting","(magic casting:1.3), spell circle, magical energy, glowing hands, arcane symbols, mystical aura, channeling power","mundane activity, cooking, gaming","Spellcasting. Combos: ARCHETYPE_Witch; ARCHETYPE_Magical_Girl; LIGHTING_Volumetric_Rays. Conflicts: ACTIVITY_Cooking.","ACTIVITY"
"ACTIVITY_Meditating","(meditation:1.2), cross-legged, eyes closed, inner peace, meditative pose, zen, floating slightly, calm aura, spiritual practice","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Meditation activity. Combos: ARCHETYPE_Monk; SCENE_Ancient_Temple_Interior; MOOD_Serene.","ACTIVITY"
"ACTIVITY_Painting","(painting:1.2), artist at easel, paintbrush in hand, canvas, palette, art studio, paint smudges, creating artwork, artist at work","gaming, fighting, cooking","Painting/art activity. Combos: SCENE_Art_Studio; ARCHETYPE_Artist; OUTFIT_Casual with apron.","ACTIVITY"
"ACTIVITY_Phone_Texting","(looking at phone:1.3), (texting:1.2), scrolling phone, checking messages, screen glow on face, smartphone in hand, mobile phone, (phone screen facing away from viewer:1.3), (screen visible to holder:1.2), phone held toward partner, (back of phone toward camera:1.2)","no phone, no screen, no device, phone screen facing camera, screen toward viewer, selfie angle, phone camera toward viewer","Phone/texting. Combos: LIGHTING_Screen_Glow; SCENE_Convenience_Store_Night; MOOD_Focused; ATMOSPHERE_Time_Midnight.","ACTIVITY"
"ACTIVITY_Pouring_Drink","(pouring drink:1.2), bartending, pouring tea, serving drinks, pouring liquid, filling glass, tea ceremony","no glass, fighting, outdoor","Pouring/serving drinks. Combos: ARCHETYPE_Bartender; SCENE_Izakaya_Bar; SCENE_Tavern_Inn.","ACTIVITY"
"ACTIVITY_Praying","(praying:1.2), hands clasped in prayer, devotional pose, bowed head prayer, kneeling prayer, eyes closed reverence","fighting, celebrating, eating","Prayer/devotion pose. Combos: ARCHETYPE_Nun; ARCHETYPE_Shrine_Maiden; ARCHETYPE_Monk; SCENE_Decrepit_Church; MOOD_Reverent.","ACTIVITY"
"ACTIVITY_Reading","reading a book, (book in hands:1.2), sitting with book, open book, studious, glasses optional, cozy reading pose","dancing, fighting, dynamic pose","Reading pose. Combos: OUTFIT_Casual; MOOD_Serene; SCENE_Library; SEASON_Autumn_Leaves. Conflicts: ACTIVITY_Fighting_Pose.","ACTIVITY"
"ACTIVITY_Running","(running:1.3), mid-sprint, dynamic run pose, hair flying back, motion blur implied, energetic, athletic movement","sitting, still, static pose","Running action. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Forest_Outdoor. Conflicts: ACTIVITY_Sitting_Relaxed.","ACTIVITY"
"ACTIVITY_Shopping","(shopping:1.3), (carrying bags:1.2), shopping bags in hand, browsing store, looking at products, retail shopping, window shopping","no bags, no shopping, no store","Shopping. Combos: SCENE_Shopping_Mall; SCENE_Village_Market; OUTFIT_Casual; MOOD_Excited.","ACTIVITY"
"ACTIVITY_Singing","(singing:1.3), performing a song, microphone, mouth open singing, eyes closed while singing, musical performance, concert singing, passionate singing","silent, reading, gaming","Singing performance. Combos: ARCHETYPE_Idol; ARCHETYPE_Rockstar; SCENE_Stage_Performance.","ACTIVITY"
"ACTIVITY_Sitting_Relaxed","sitting, (relaxed pose:1.2), comfortable seated position, legs crossed, casual sitting, at ease, resting","dynamic, fighting, dancing, running","Calm seated pose. Combos: MOOD_Serene; OUTFIT_Casual; SCENE_Cafe. Conflicts: ACTIVITY_Fighting_Pose.","ACTIVITY"
"ACTIVITY_Skateboarding","(skateboarding:1.2), riding skateboard, skate trick, ollie, skating street, kick flip, skateboard park","formal, sitting still, armor","Skateboarding. Combos: OUTFIT_Streetwear; SCENE_City_Street_Night; MOOD_Playful; PROPS_Skateboard.","ACTIVITY"
"ACTIVITY_Sleeping","(sleeping:1.2), asleep, peaceful sleep, curled up sleeping, eyes closed, resting, cozy sleep, pillow, sleeping soundly","standing, active, running, fighting","Sleeping/resting. Combos: SCENE_Bedroom; OUTFIT_Oversized_Hoodie; MOOD_Serene. Cozy atmosphere.","ACTIVITY"
"ACTIVITY_Sparring","(sparring:1.2), training fight, practice combat, martial arts sparring, hand to hand training, combat practice","relaxing, sitting, cooking","Martial arts sparring. Combos: ARCHETYPE_Warrior; ACTIVITY_Sword_Training; MOOD_Focused; SCENE_Gym_Interior.","ACTIVITY"
"ACTIVITY_Stretching","(stretching:1.2), yoga pose, flexible pose, split stretch, reaching forward, limber, warm-up pose, gymnastic","stiff, rigid, sitting still","Stretch / yoga. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Gym. Conflicts: ACTIVITY_Reading.","ACTIVITY"
"ACTIVITY_Studying","(studying:1.3), (textbook open:1.2), books and notes, desk studying, notebook writing, late night study, homework session","no books, no studying, no desk","Studying. Combos: SCENE_Library; SCENE_School_Classroom; STATE_Exhausted_Sleeping; LIGHTING_Screen_Glow.","ACTIVITY"
"ACTIVITY_Swimming","(swimming:1.2), underwater, swimmer, water splash, floating in water, backstroke, pool, ocean swimming, submerged","indoor dry, desert, winter cold","Swimming activity. Combos: SCENE_Hot_Spring; LIGHTING_Underwater; OUTFIT_Swimwear.","ACTIVITY"
"ACTIVITY_Sword_Training","(sword practice:1.2), training kata, sword form, blade technique, practice swing, training grounds, kendo or swordsmanship, focus","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Sword/blade training activity. Combos: ARCHETYPE_Male_Warrior; ARCHETYPE_Samurai; SCENE_Ancient_Temple_Interior.","ACTIVITY"
"ACTIVITY_Writing","(writing:1.3), (pen in hand:1.2), writing in notebook, journaling, quill writing, calligraphy, letter writing, pen on paper","no pen, no paper, typing only","Writing by hand. Combos: SCENE_Library; ARCHETYPE_Bard; PROPS_Ancient_Tome; LIGHTING_Candlelight.","ACTIVITY"
"ANIMAL_Bear","bear, (brown bear:1.2), grizzly, powerful, thick fur, bear portrait, forest bear, standing or resting, ursine","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Bear portrait. Combos: SCENE_Forest_Outdoor; LIGHTING_Volumetric_Rays.","ANIMAL"
"ANIMAL_Cat","cat, (detailed cat:1.2), domestic cat, feline, cat portrait, whiskers, fur texture, cat eyes, resting or alert cat","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Cat portrait. Combos: SCENE_Bedroom; LIGHTING_Soft_Warm; STYLE_Soft_Pastel.","ANIMAL"
"ANIMAL_Deer","deer, (stag with antlers:1.2), cervine, graceful animal, antlers, doe or stag, forest deer, elegant animal, gentle eyes","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Deer portrait. Combos: SCENE_Forest_Outdoor; ATMOSPHERE_Season_Autumn; LIGHTING_Volumetric_Rays.","ANIMAL"
"ANIMAL_Dragon","dragon, (western dragon:1.2), scales, wings, horns, fire breath optional, massive creature, reptilian, dragon portrait, fantasy dragon","humanoid, human, chibi, cartoon, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Full dragon (non-humanoid). Combos: SCENE_Dragon_Lair; LIGHTING_Campfire_Warm; THEME_Fantasy_Dark.","ANIMAL"
"ANIMAL_Eagle","eagle, (bald eagle or golden eagle:1.2), raptor, soaring bird, sharp talons, feather detail, bird of prey, eagle portrait","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Eagle/raptor portrait. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset.","ANIMAL"
"ANIMAL_Fox","fox, (red fox:1.2), bushy tail, amber eyes, fox portrait, cunning expression, forest fox, orange and white fur, alert fox","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Fox portrait. Combos: SCENE_Forest_Outdoor; ATMOSPHERE_Season_Autumn; LIGHTING_Golden_Hour_Sunset.","ANIMAL"
